,director_name,Film,gross,genres,duration,plot_keywords,Year,Award,Name
314,Francis Ford Coppola,Peggy Sue Got Married,41382841.0,Comedy|Drama|Fantasy|Romance,103.0,alternate history|alternate timeline|divorce|high school|reunion,1986,Actress in a Leading Role,Kathleen Turner
315,Alejandro G. IÌ±ÌÁrritu,Birdman or (The Unexpected Virtue of Ignorance),42335698.0,Comedy|Drama|Romance,119.0,actor|artist|broadway play|replacement|stage,2014,Actor in a Leading Role,Michael Keaton
316,Alejandro G. IÌ±ÌÁrritu,Birdman or (The Unexpected Virtue of Ignorance),42335698.0,Comedy|Drama|Romance,119.0,actor|artist|broadway play|replacement|stage,2014,Actor in a Supporting Role,Edward Norton
317,Alejandro G. IÌ±ÌÁrritu,Birdman or (The Unexpected Virtue of Ignorance),42335698.0,Comedy|Drama|Romance,119.0,actor|artist|broadway play|replacement|stage,2014,Actress in a Supporting Role,Emma Stone
318,Woody Allen,Blue Jasmine,33404871.0,Drama,98.0,congenital liar|mental breakdown|self deception|snob|talking to oneself,2013,Actress in a Leading Role,Cate Blanchett
319,Woody Allen,Blue Jasmine,33404871.0,Drama,98.0,congenital liar|mental breakdown|self deception|snob|talking to oneself,2013,Actress in a Supporting Role,Sally Hawkins
320,Martin Scorsese,Raging Bull,45250.0,Biography|Drama|Sport,121.0,boxing|domestic violence|hot temper|jealousy|rage,1980,Actor in a Leading Role,Robert De Niro
321,Martin Scorsese,Raging Bull,45250.0,Biography|Drama|Sport,121.0,boxing|domestic violence|hot temper|jealousy|rage,1980,Actor in a Supporting Role,Joe Pesci
322,Martin Scorsese,Raging Bull,45250.0,Biography|Drama|Sport,121.0,boxing|domestic violence|hot temper|jealousy|rage,1980,Actress in a Supporting Role,Cathy Moriarty
323,Danny Boyle,127 Hours,18329466.0,Adventure|Biography|Drama|Thriller,94.0,alone|aron ralston|based on autobiography|canyon|survival,2010,Actor in a Leading Role,James Franco
324,Danny Boyle,Steve Jobs,17750583.0,Biography|Drama,122.0,apple computer|box office flop|computer|dialogue driven|father daughter relationship,2015,Actor in a Leading Role,Michael Fassbender
325,Danny Boyle,Steve Jobs,17750583.0,Biography|Drama,122.0,apple computer|box office flop|computer|dialogue driven|father daughter relationship,2015,Actress in a Supporting Role,Kate Winslet
326,IstvÌÁn SzabÌ_,Being Julia,7739049.0,Comedy|Drama|Romance,104.0,diva|marriage|open marriage|revenge|social climber,2004,Actress in a Leading Role,Annette Bening
327,Michael Hoffman,The Last Station,6615578.0,Biography|Drama|Romance,112.0,countess|leo tolstoy|russian|wealth|writing,2009,Actor in a Supporting Role,Christopher Plummer
328,Michael Hoffman,The Last Station,6615578.0,Biography|Drama|Romance,112.0,countess|leo tolstoy|russian|wealth|writing,2009,Actress in a Leading Role,Helen Mirren
329,Tim Burton,Ed Wood,5887457.0,Biography|Comedy|Drama,127.0,1950s|director|friend|friendship|transvestism,1994,Actor in a Supporting Role,Martin Landau
330,Kenneth Branagh,Hamlet,4414535.0,Drama,150.0,classic literature|denmark|funeral|madness|prince,1948,Actor,Laurence Olivier
331,Kenneth Branagh,Hamlet,4414535.0,Drama,150.0,classic literature|denmark|funeral|madness|prince,1948,Actress in a Supporting Role,Jean Simmons
332,Kenneth Branagh,Hamlet,4414535.0,Drama,150.0,classic literature|denmark|funeral|madness|prince,1948,Actor,Laurence Olivier
333,Kenneth Branagh,Hamlet,4414535.0,Drama,150.0,classic literature|denmark|funeral|madness|prince,1948,Actress in a Supporting Role,Jean Simmons
334,Terry George,Hotel Rwanda,23472900.0,Drama|History|War,121.0,atrocity|central africa|ethnic warfare|united nations peace keeping force|united nations soldier,2004,Actor in a Leading Role,Don Cheadle
335,Terry George,Hotel Rwanda,23472900.0,Drama|History|War,121.0,atrocity|central africa|ethnic warfare|united nations peace keeping force|united nations soldier,2004,Actress in a Supporting Role,Sophie Okonedo
336,James Cameron,Aliens,85200000.0,Action|Adventure|Sci-Fi,154.0,alien|human versus alien|monster|rescue mission|space marine,1986,Actress in a Leading Role,Sigourney Weaver
337,George Cukor,My Fair Lady,72000000.0,Drama|Family|Musical|Romance,170.0,colonel|flower girl|professor|street|wager,1964,Actor,Rex Harrison
338,George Cukor,My Fair Lady,72000000.0,Drama|Family|Musical|Romance,170.0,colonel|flower girl|professor|street|wager,1964,Actor in a Supporting Role,Stanley Holloway
339,George Cukor,My Fair Lady,72000000.0,Drama|Family|Musical|Romance,170.0,colonel|flower girl|professor|street|wager,1964,Actress in a Supporting Role,Gladys Cooper
340,Alexander Payne,Sideways,71502303.0,Adventure|Comedy|Drama|Romance,126.0,actor|california|teacher|wine|writer,2004,Actor in a Supporting Role,Thomas Haden Church
341,Alexander Payne,Sideways,71502303.0,Adventure|Comedy|Drama|Romance,126.0,actor|california|teacher|wine|writer,2004,Actress in a Supporting Role,Virginia Madsen
342,Sam Raimi,A Simple Plan,16311763.0,Crime|Drama|Thriller,121.0,bag of money|found money|minnesota|screenplay adapted by author|snow,1998,Actor in a Supporting Role,Billy Bob Thornton
343,Oliver Stone,Wall Street,43848100.0,Crime|Drama,126.0,1980s|argument|critique of capitalism|f word|fired from the job,1987,Actor in a Leading Role,Michael Douglas
344,Ang Lee,Sense and Sensibility,42700000.0,Drama|Romance,136.0,1810s|female protagonist|horseback riding|inheritance|three word title,1995,Actress in a Leading Role,Emma Thompson
345,Ang Lee,Sense and Sensibility,42700000.0,Drama|Romance,136.0,1810s|female protagonist|horseback riding|inheritance|three word title,1995,Actress in a Supporting Role,Kate Winslet
346,Vadim Perelman,House of Sand and Fog,13005485.0,Drama,126.0,auction|home|house|iranian|marriage,2003,Actor in a Leading Role,Ben Kingsley
347,Vadim Perelman,House of Sand and Fog,13005485.0,Drama,126.0,auction|home|house|iranian|marriage,2003,Actress in a Supporting Role,Shohreh Aghdashloo
348,Peter Weir,Dead Poets Society,95860116.0,Comedy|Drama,128.0,education|english teacher|poet|professor|student,1989,Actor in a Leading Role,Robin Williams
349,Sidney Lumet,The Verdict,54000000.0,Drama,129.0,archdiocese|court|hospital|lawyer|malpractice,1982,Actor in a Leading Role,Paul Newman
350,Sidney Lumet,The Verdict,54000000.0,Drama,129.0,archdiocese|court|hospital|lawyer|malpractice,1982,Actor in a Supporting Role,James Mason
351,Michel Hazanavicius,The Artist,44667095.0,Comedy|Drama|Romance,100.0,1920s|jack russell terrier|modern silent movie|movie star|movie studio,2011,Actor in a Leading Role,Jean Dujardin
352,Michel Hazanavicius,The Artist,44667095.0,Comedy|Drama|Romance,100.0,1920s|jack russell terrier|modern silent movie|movie star|movie studio,2011,Actress in a Supporting Role,Bérénice Bejo
353,Woody Allen,Vicky Cristina Barcelona,23213577.0,Drama|Romance,96.0,art|artist|painter|sex|summer,2008,Actress in a Supporting Role,Penélope Cruz
354,Jonathan Demme,Philadelphia,77324422.0,Drama,125.0,aids|city name in title|gay|homophobia|lawyer,1993,Actor in a Leading Role,Tom Hanks
355,Sydney Pollack,Tootsie,177200000.0,Comedy|Drama|Romance,116.0,actor|actress|friend|love|reputation,1982,Actor in a Leading Role,Dustin Hoffman
356,Sydney Pollack,Tootsie,177200000.0,Comedy|Drama|Romance,116.0,actor|actress|friend|love|reputation,1982,Actress in a Supporting Role,Teri Garr
357,Sydney Pollack,Tootsie,177200000.0,Comedy|Drama|Romance,116.0,actor|actress|friend|love|reputation,1982,Actress in a Supporting Role,Jessica Lange
358,Sam Mendes,American Beauty,130058047.0,Drama,122.0,domestic violence|drug dealer|homosexuality|midlife crisis|unfaithfulness,1999,Actor in a Leading Role,Kevin Spacey
359,Sam Mendes,American Beauty,130058047.0,Drama,122.0,domestic violence|drug dealer|homosexuality|midlife crisis|unfaithfulness,1999,Actress in a Leading Role,Annette Bening
360,Tom Hooper,The King's Speech,138795342.0,Biography|Drama|History|Romance,118.0,king|king george vi|speech|speech therapist|throne,2010,Actor in a Leading Role,Colin Firth
361,Tom Hooper,The King's Speech,138795342.0,Biography|Drama|History|Romance,118.0,king|king george vi|speech|speech therapist|throne,2010,Actor in a Supporting Role,Geoffrey Rush
362,Tom Hooper,The King's Speech,138795342.0,Biography|Drama|History|Romance,118.0,king|king george vi|speech|speech therapist|throne,2010,Actress in a Supporting Role,Helena Bonham Carter
363,Steven Spielberg,The Color Purple,94175854.0,Drama,154.0,book strap|girl|racial discrimination|racial tension|stereotype,1985,Actress in a Leading Role,Whoopi Goldberg
364,Steven Spielberg,The Color Purple,94175854.0,Drama,154.0,book strap|girl|racial discrimination|racial tension|stereotype,1985,Actress in a Supporting Role,Margaret Avery
365,Steven Spielberg,The Color Purple,94175854.0,Drama,154.0,book strap|girl|racial discrimination|racial tension|stereotype,1985,Actress in a Supporting Role,Oprah Winfrey
366,Morten Tyldum,The Imitation Game,91121452.0,Biography|Drama|Thriller|War,114.0,crossword puzzle|cryptography|enigma code|gay lead character|world war two,2014,Actor in a Leading Role,Benedict Cumberbatch
367,Morten Tyldum,The Imitation Game,91121452.0,Biography|Drama|Thriller|War,114.0,crossword puzzle|cryptography|enigma code|gay lead character|world war two,2014,Actress in a Supporting Role,Keira Knightley
368,Howard Zieff,Private Benjamin,69800000.0,Comedy|War,109.0,camera shot of feet|female stockinged feet|loss of husband|pantyhose|suntan pantyhose,1980,Actress in a Leading Role,Goldie Hawn
369,Howard Zieff,Private Benjamin,69800000.0,Comedy|War,109.0,camera shot of feet|female stockinged feet|loss of husband|pantyhose|suntan pantyhose,1980,Actress in a Supporting Role,Eileen Brennan
370,Michael Apted,Coal Miner's Daughter,79900000.0,Biography|Drama|Music|Musical,124.0,country music|kissing while having sex|poverty|singer|title based on song,1980,Actress in a Leading Role,Sissy Spacek
371,Stephen Frears,The Queen,56437947.0,Biography|Drama,94.0,monarchy|prime minister|princess diana|queen|speech,2006,Actress in a Leading Role,Helen Mirren
372,Gillian Armstrong,Little Women,50003300.0,Drama|Family|Romance,115.0,civil war|female protagonist|post civil war|reference to friedrich schiller|u.s. civil war,1994,Actress in a Leading Role,Winona Ryder
373,Michael Cimino,The Deer Hunter,,Drama|War,183.0,escape|friend|party|pittsburgh steelers|vietnam,1978,Actor in a Leading Role,Robert De Niro
374,Michael Cimino,The Deer Hunter,,Drama|War,183.0,escape|friend|party|pittsburgh steelers|vietnam,1978,Actor in a Supporting Role,Christopher Walken
375,Michael Cimino,The Deer Hunter,,Drama|War,183.0,escape|friend|party|pittsburgh steelers|vietnam,1978,Actress in a Supporting Role,Meryl Streep
376,Barry Levinson,Wag the Dog,43022524.0,Comedy|Drama,97.0,death|election|hollywood|president|scandal,1997,Actor in a Leading Role,Dustin Hoffman
377,Brian Gibson,What's Love Got to Do with It,39100956.0,Biography|Drama|Music,118.0,abusive husband|love|singer|tina turner|violence,1993,Actor in a Leading Role,Laurence Fishburne
378,Brian Gibson,What's Love Got to Do with It,39100956.0,Biography|Drama|Music,118.0,abusive husband|love|singer|tina turner|violence,1993,Actress in a Leading Role,Angela Bassett
379,James Marsh,The Theory of Everything,35887263.0,Biography|Drama|Romance,123.0,based on memoir|cambridge university|husband wife relationship|lou gehrig's disease|physicist,2014,Actor in a Leading Role,Eddie Redmayne
380,James Marsh,The Theory of Everything,35887263.0,Biography|Drama|Romance,123.0,based on memoir|cambridge university|husband wife relationship|lou gehrig's disease|physicist,2014,Actress in a Leading Role,Felicity Jones
381,David Lean,Lawrence of Arabia,6000000.0,Adventure|Biography|Drama|History|War,227.0,arab|british military|desert|ottoman empire|t.e. lawrence,1962,Actor,Peter O'Toole
382,David Lean,Lawrence of Arabia,6000000.0,Adventure|Biography|Drama|History|War,227.0,arab|british military|desert|ottoman empire|t.e. lawrence,1962,Actor in a Supporting Role,Omar Sharif
383,Jean-Marc VallÌ©e,Wild,37877959.0,Adventure|Biography|Drama,115.0,female protagonist|grief|hiking|loss of mother|mother daughter relationship,2014,Actress in a Leading Role,Reese Witherspoon
384,Jean-Marc VallÌ©e,Wild,37877959.0,Adventure|Biography|Drama,115.0,female protagonist|grief|hiking|loss of mother|mother daughter relationship,2014,Actress in a Supporting Role,Laura Dern
385,James Ivory,The Remains of the Day,22954968.0,Drama|Romance,134.0,butler|housekeeper|manor|servant|service,1993,Actor in a Leading Role,Anthony Hopkins
386,James Ivory,The Remains of the Day,22954968.0,Drama|Romance,134.0,butler|housekeeper|manor|servant|service,1993,Actress in a Leading Role,Emma Thompson
